en; fr
The Surveillance, Outbreak Response Management and Analysis System (SORMAS) is an open-source mobile health app that facilitates infectious disease control and outbreak management procedures in addition to disease surveillance and epidemiologic analysis for all levels of a public health system. SORMAS includes specific interfaces for 12 users (e.g., laboratorian, contact tracing officer, epidemiologist), disease-specific process modules for 21 epidemic-prone diseases and a customizable process module for unforeseen emerging diseases and a COVID-19 module, which we developed to support countries in the outbreak response. Users can operate SORMAS on the web or mobile app and synchronize bi-directionally with a central server via mobile telecommunication networks.; Le système de surveillance, de gestion des réponses aux épidémies et d'analyse (SORMAS) est une application mobile de santé à code source ouvert qui facilite les procédures de contrôle des maladies infectieuses et de gestion des épidémies en plus de la surveillance des maladies et de l'analyse épidémiologique à tous les niveaux d'un système de santé publique. SORMAS comprend des interfaces spécifiques pour 12 utilisateurs (par exemple, un laborantin, un responsable de la recherche des contacts, un épidémiologiste), des modules de processus spécifiques à 21 maladies à tendance épidémique et un module de processus personnalisable pour les maladies émergentes imprévues et un module COVID-19, que nous avons développé pour soutenir les pays dans la réponse aux épidémies. Les utilisateurs peuvent utiliser SORMAS sur le web ou sur une application mobile et se synchroniser de manière bidirectionnelle avec un serveur central via des réseaux de télécommunication mobile.
Indicator type; Type d'indicateur
Region of case;  Région du cas
District of case; District du cas
Classification of case; Classification du cas
Facility id of case; Identifiant de l'établissement du cas
Case dashboard; Tableau de bord du cas
Case classification; Classification du cas
Case quarantine; Quarantaine de cas
Case gender;  Sexe du cas
Case age;  Âge du cas
Case outcome; Issue du cas
Case occupation;  Occupation de cas
Case Origin; Origine du cas
Custom indicators; Indicateurs personnalisés
Cases by region; Cas par région
Epidemic curve;  Courbe épidémique
Time series plot; Graphique de série temporelle
Case Pyramid; Pyramide de cas
Case pyramid by Sex and Age; Pyramide des cas par sexe et âge
Serial interval analysis; Analyse de l'intervalle de série
Model selection: Goodness-of-fit criteria and statistics. Model with smallest values correspond to distribution with best fit.; Sélection de modèles : Critères Goodness-of-fit. Le modèle avec les plus petites valeurs correspond à la distribution avec le meilleur ajustement.
Empirical and theoretical CDFs;  CDFs empiriques et théoriques
Q-Q plot; Graphique Q-Q
Empirical and theoretical density; Densité empirique et théorique
Summary statistics for observed serial interval; Statistiques récapitulatives pour l'intervalle de série observé
n_value <= 0: number of records with negative or zero serial interval. This corresponds to asymptomatic transmission.; n_value <= 0 : nombre d'enregistrements avec un intervalle sériel négatif ou nul. Cela correspond à une transmission asymptomatique.























